Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
100112 / 110348 rounded to 0.20662665325146315 	 min so far 0.07922638753013052
100113 / 110348 rounded to 0.17577606467021598 	 min so far 0.07922638753013052
100114 / 110348 rounded to 0.2913553594056608 	 min so far 0.07922638753013052
100115 / 110348 rounded to 0.11343606691151238 	 min so far 0.07922638753013052
100116 / 110348 rounded to 0.08693152762768912 	 min so far 0.07922638753013052
100117 / 110348 rounded to 0.3065229464317231 	 min so far 0.07922638753013052
100118 / 110348 rounded to 0.2630101117043661 	 min so far 0.07922638753013052
100119 / 110348 rounded to 0.14156828937512037 	 min so far 0.07922638753013052
100120 / 110348 rounded to 0.23264265928432795 	 min so far 0.07922638753013052
100121 / 110348 rounded to 0.25317956181791945 	 min so far 0.07922638753013052
100122 / 110348 rounded to 0.1995828490138981 	 min so far 0.07922638753013052
100123 / 110348 rounded to 0.14422467297392702 	 min so far 0.07922638753013052
100124 / 110348 rounded to 0.0792264067203236 	 min so far 0.07922638753013052
100125 / 110348 rounded to 0.20891961306152285 	 min so far 0.07922638753013052
100126 / 110348 rounded to 0.230430747694167 	 min so far 0.07922638753013052
100127 / 110348 rounded to 0.24581106548795523 	 min so far 0.07922638753013052
100128 / 110348 rounded to 0.18197181546558083 	 min so far 0.07922638753013052
100129 / 110348 rounded to 0.23307821466899795 	 min so far 0.07922638753013052
100130 / 110348 rounded to 0.1973012933295976 	 min so far 0.07922638753013052
100131 / 110348 rounded to 0.2461533388466316 	 min so far 0.07922638753013052
100132 / 110348 rounded to 0.31422518794948345 	 min so far 0.07922638753013052
100133 / 110348 rounded to 0.2044313925358995 	 min so far 0.07922638753013052
100134 / 110348 rounded to 0.23379081261439666 	 min so far 0.07922638753013052
100135 / 110348 rounded to 0.1544438319168772 	 min so far 0.07922638753013052
100136 / 110348 rounded to 0.2037636206833346 	 min so far 0.07922638753013052
100137 / 110348 rounded to 0.1304423831316087 	 min so far 0.07922638753013052
100138 / 110348 rounded to 0.18117024504189833 	 min so far 0.07922638753013052
100139 / 110348 rounded to 0.203428737265468 	 min so far 0.07922638753013052
100140 / 110348 rounded to 0.10076252102193825 	 min so far 0.07922638753013052
100141 / 110348 rounded to 0.24824536172433223 	 min so far 0.07922638753013052
100142 / 110348 rounded to 0.18443000826067094 	 min so far 0.07922638753013052
100143 / 110348 rounded to 0.13981248960076909 	 min so far 0.07922638753013052
100144 / 110348 rounded to 0.15025492583267877 	 min so far 0.07922638753013052
100145 / 110348 rounded to 0.24932394198287855 	 min so far 0.07922638753013052
100146 / 110348 rounded to 0.24352562129222916 	 min so far 0.07922638753013052
100147 / 110348 rounded to 0.14843155148691908 	 min so far 0.07922638753013052
100148 / 110348 rounded to 0.22482871321451747 	 min so far 0.07922638753013052
100149 / 110348 rounded to 0.18168230919891015 	 min so far 0.07922638753013052
100150 / 110348 rounded to 0.14443796466642148 	 min so far 0.07922638753013052
100151 / 110348 rounded to 0.16493371891789618 	 min so far 0.07922638753013052
100152 / 110348 rounded to 0.17359390042967898 	 min so far 0.07922638753013052
100153 / 110348 rounded to 0.11655078981231712 	 min so far 0.07922638753013052
100154 / 110348 rounded to 0.16742205472794086 	 min so far 0.07922638753013052
100155 / 110348 rounded to 0.08993348667028275 	 min so far 0.07922638753013052
100156 / 110348 rounded to 0.25954618441599914 	 min so far 0.07922638753013052
100157 / 110348 rounded to 0.10545608558185807 	 min so far 0.07922638753013052
100158 / 110348 rounded to 0.11413318465922206 	 min so far 0.07922638753013052
100159 / 110348 rounded to 0.17507545200890293 	 min so far 0.07922638753013052
100160 / 110348 rounded to 0.07922641178377862 	 min so far 0.07922638753013052
100161 / 110348 rounded to 0.2164456681809378 	 min so far 0.07922638753013052
100162 / 110348 rounded to 0.21514256402178417 	 min so far 0.07922638753013052
100163 / 110348 rounded to 0.22079778060610863 	 min so far 0.07922638753013052
100164 / 110348 rounded to 0.17981816620730418 	 min so far 0.07922638753013052
100165 / 110348 rounded to 0.24268597540483278 	 min so far 0.07922638753013052
100166 / 110348 rounded to 0.21450392595853515 	 min so far 0.07922638753013052
100167 / 110348 rounded to 0.13441089413708304 	 min so far 0.07922638753013052
100168 / 110348 rounded to 0.12025209589519033 	 min so far 0.07922638753013052
100169 / 110348 rounded to 0.2715814712823684 	 min so far 0.07922638753013052
100170 / 110348 rounded to 0.1581026290814539 	 min so far 0.07922638753013052
100171 / 110348 rounded to 0.09847769925058089 	 min so far 0.07922638753013052
100172 / 110348 rounded to 0.17700249649103458 	 min so far 0.07922638753013052
100173 / 110348 rounded to 0.08363065780154189 	 min so far 0.07922638753013052
100174 / 110348 rounded to 0.1410587892307215 	 min so far 0.07922638753013052
100175 / 110348 rounded to 0.14436678449351736 	 min so far 0.07922638753013052
100176 / 110348 rounded to 0.2506459717856173 	 min so far 0.07922638753013052
100177 / 110348 rounded to 0.11392347692596656 	 min so far 0.07922638753013052
100178 / 110348 rounded to 0.1524236818761615 	 min so far 0.07922638753013052
100179 / 110348 rounded to 0.1709308661385318 	 min so far 0.07922638753013052
100180 / 110348 rounded to 0.17765408698829716 	 min so far 0.07922638753013052
100181 / 110348 rounded to 0.2199689911939481 	 min so far 0.07922638753013052
100182 / 110348 rounded to 0.0833655479363268 	 min so far 0.07922638753013052
100183 / 110348 rounded to 0.2828190188033719 	 min so far 0.07922638753013052
100184 / 110348 rounded to 0.1022344621201453 	 min so far 0.07922638753013052
100185 / 110348 rounded to 0.14435693352636786 	 min so far 0.07922638753013052
100186 / 110348 rounded to 0.20265903421345424 	 min so far 0.07922638753013052
100187 / 110348 rounded to 0.08568959863932156 	 min so far 0.07922638753013052
100188 / 110348 rounded to 0.07922640030918587 	 min so far 0.07922638753013052
100189 / 110348 rounded to 0.09357745858642456 	 min so far 0.07922638753013052
