Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
40170 / 505163 rounded to 0.024911656754364363 	 min so far 0.021906300589080198
40171 / 505163 rounded to 0.022673249679674812 	 min so far 0.021906300589080198
40172 / 505163 rounded to 0.026070805713119937 	 min so far 0.021906300589080198
40173 / 505163 rounded to 0.02656483071898078 	 min so far 0.021906300589080198
40174 / 505163 rounded to 0.027340956207883144 	 min so far 0.021906300589080198
40175 / 505163 rounded to 0.02535046745694367 	 min so far 0.021906300589080198
40176 / 505163 rounded to 0.023086410391948014 	 min so far 0.021906300589080198
40177 / 505163 rounded to 0.026878877052076824 	 min so far 0.021906300589080198
40178 / 505163 rounded to 0.025265980095878635 	 min so far 0.021906300589080198
40179 / 505163 rounded to 0.02742759914248736 	 min so far 0.021906300589080198
40180 / 505163 rounded to 0.026059154396505937 	 min so far 0.021906300589080198
40181 / 505163 rounded to 0.026638431002031338 	 min so far 0.021906300589080198
40182 / 505163 rounded to 0.022016054365000724 	 min so far 0.021906300589080198
40183 / 505163 rounded to 0.025358809879147973 	 min so far 0.021906300589080198
40184 / 505163 rounded to 0.024937615933985833 	 min so far 0.021906300589080198
40185 / 505163 rounded to 0.024841505430827467 	 min so far 0.021906300589080198
40186 / 505163 rounded to 0.026056585020976526 	 min so far 0.021906300589080198
40187 / 505163 rounded to 0.022204130878306427 	 min so far 0.021906300589080198
40188 / 505163 rounded to 0.027203026242699904 	 min so far 0.021906300589080198
40189 / 505163 rounded to 0.023497487780889958 	 min so far 0.021906300589080198
40190 / 505163 rounded to 0.02797053158033676 	 min so far 0.021906300589080198
40191 / 505163 rounded to 0.026379903284378153 	 min so far 0.021906300589080198
40192 / 505163 rounded to 0.026241229383457194 	 min so far 0.021906300589080198
40193 / 505163 rounded to 0.02303490593261606 	 min so far 0.021906300589080198
40194 / 505163 rounded to 0.02543279961330052 	 min so far 0.021906300589080198
40195 / 505163 rounded to 0.024725471199773804 	 min so far 0.021906300589080198
40196 / 505163 rounded to 0.02736278088399214 	 min so far 0.021906300589080198
40197 / 505163 rounded to 0.02678985346156453 	 min so far 0.021906300589080198
40198 / 505163 rounded to 0.028266138075094534 	 min so far 0.021906300589080198
40199 / 505163 rounded to 0.022160269991571193 	 min so far 0.021906300589080198
40200 / 505163 rounded to 0.02563281206937913 	 min so far 0.021906300589080198
40201 / 505163 rounded to 0.025931521892370784 	 min so far 0.021906300589080198
40202 / 505163 rounded to 0.02918120878229652 	 min so far 0.021906300589080198
40203 / 505163 rounded to 0.0274874712887622 	 min so far 0.021906300589080198
40204 / 505163 rounded to 0.02434318055330174 	 min so far 0.021906300589080198
40205 / 505163 rounded to 0.027278115775438365 	 min so far 0.021906300589080198
40206 / 505163 rounded to 0.02636983321563728 	 min so far 0.021906300589080198
40207 / 505163 rounded to 0.024650243417498937 	 min so far 0.021906300589080198
40208 / 505163 rounded to 0.024075340606438258 	 min so far 0.021906300589080198
40209 / 505163 rounded to 0.024880973770280278 	 min so far 0.021906300589080198
40210 / 505163 rounded to 0.02677300088796539 	 min so far 0.021906300589080198
40211 / 505163 rounded to 0.02573159672736468 	 min so far 0.021906300589080198
40212 / 505163 rounded to 0.02368190390612932 	 min so far 0.021906300589080198
40213 / 505163 rounded to 0.026114230690899357 	 min so far 0.021906300589080198
40214 / 505163 rounded to 0.02219286135376421 	 min so far 0.021906300589080198
40215 / 505163 rounded to 0.022631608255713042 	 min so far 0.021906300589080198
40216 / 505163 rounded to 0.026222815602887542 	 min so far 0.021906300589080198
40217 / 505163 rounded to 0.023355232886936708 	 min so far 0.021906300589080198
40218 / 505163 rounded to 0.023675132672373266 	 min so far 0.021906300589080198
40219 / 505163 rounded to 0.02227023300087646 	 min so far 0.021906300589080198
40220 / 505163 rounded to 0.025687690739760686 	 min so far 0.021906300589080198
40221 / 505163 rounded to 0.02831375648207796 	 min so far 0.021906300589080198
40222 / 505163 rounded to 0.028212777479603938 	 min so far 0.021906300589080198
40223 / 505163 rounded to 0.0281200109482922 	 min so far 0.021906300589080198
40224 / 505163 rounded to 0.026923074250098773 	 min so far 0.021906300589080198
40225 / 505163 rounded to 0.026821959087451122 	 min so far 0.021906300589080198
40226 / 505163 rounded to 0.02359469638508438 	 min so far 0.021906300589080198
40227 / 505163 rounded to 0.02766804040187721 	 min so far 0.021906300589080198
40228 / 505163 rounded to 0.022421671385539212 	 min so far 0.021906300589080198
40229 / 505163 rounded to 0.02724706104480805 	 min so far 0.021906300589080198
40230 / 505163 rounded to 0.024161458886147142 	 min so far 0.021906300589080198
40231 / 505163 rounded to 0.023523348368981272 	 min so far 0.021906300589080198
40232 / 505163 rounded to 0.02750324820943095 	 min so far 0.021906300589080198
40233 / 505163 rounded to 0.025397179073995652 	 min so far 0.021906300589080198
40234 / 505163 rounded to 0.023961688700042772 	 min so far 0.021906300589080198
40235 / 505163 rounded to 0.025445115829300813 	 min so far 0.021906300589080198
40236 / 505163 rounded to 0.02803966234354442 	 min so far 0.021906300589080198
40237 / 505163 rounded to 0.022338710876033892 	 min so far 0.021906300589080198
40238 / 505163 rounded to 0.024301836733542134 	 min so far 0.021906300589080198
40239 / 505163 rounded to 0.027240751214136615 	 min so far 0.021906300589080198
40240 / 505163 rounded to 0.026751797966400093 	 min so far 0.021906300589080198
40241 / 505163 rounded to 0.030520487012536388 	 min so far 0.021906300589080198
40242 / 505163 rounded to 0.02660189210490037 	 min so far 0.021906300589080198
40243 / 505163 rounded to 0.028871996330368428 	 min so far 0.021906300589080198
40244 / 505163 rounded to 0.031194199143442878 	 min so far 0.021906300589080198
40245 / 505163 rounded to 0.026787213090951383 	 min so far 0.021906300589080198
40246 / 505163 rounded to 0.027483268122700452 	 min so far 0.021906300589080198
40247 / 505163 rounded to 0.028606069856232586 	 min so far 0.021906300589080198
40248 / 505163 rounded to 0.027772186652828715 	 min so far 0.021906300589080198
40249 / 505163 rounded to 0.023583746975877624 	 min so far 0.021906300589080198
40250 / 505163 rounded to 0.02683275880878156 	 min so far 0.021906300589080198
40251 / 505163 rounded to 0.024689329980818565 	 min so far 0.021906300589080198
40252 / 505163 rounded to 0.026872657770361002 	 min so far 0.021906300589080198
40253 / 505163 rounded to 0.026579100185162526 	 min so far 0.021906300589080198
40254 / 505163 rounded to 0.027536672061768186 	 min so far 0.021906300589080198
40255 / 505163 rounded to 0.024389685834119212 	 min so far 0.021906300589080198
40256 / 505163 rounded to 0.027520373582306343 	 min so far 0.021906300589080198
40257 / 505163 rounded to 0.02570047653693469 	 min so far 0.021906300589080198
40258 / 505163 rounded to 0.025451600908024716 	 min so far 0.021906300589080198
40259 / 505163 rounded to 0.023171454394678995 	 min so far 0.021906300589080198
40260 / 505163 rounded to 0.024901086019662125 	 min so far 0.021906300589080198
40261 / 505163 rounded to 0.02924368543146127 	 min so far 0.021906300589080198
40262 / 505163 rounded to 0.027124709634191165 	 min so far 0.021906300589080198
40263 / 505163 rounded to 0.02559588358946778 	 min so far 0.021906300589080198
40264 / 505163 rounded to 0.022992401068711452 	 min so far 0.021906300589080198
40265 / 505163 rounded to 0.02294979598097796 	 min so far 0.021906300589080198
40266 / 505163 rounded to 0.022856514806035066 	 min so far 0.021906300589080198
40267 / 505163 rounded to 0.025634208710115965 	 min so far 0.021906300589080198
40268 / 505163 rounded to 0.024482690651064152 	 min so far 0.021906300589080198
40269 / 505163 rounded to 0.025595285931154642 	 min so far 0.021906300589080198
40270 / 505163 rounded to 0.023037097357969126 	 min so far 0.021906300589080198
40271 / 505163 rounded to 0.026185636951239714 	 min so far 0.021906300589080198
40272 / 505163 rounded to 0.02253189623743743 	 min so far 0.021906300589080198
40273 / 505163 rounded to 0.02853783973828863 	 min so far 0.021906300589080198
40274 / 505163 rounded to 0.0226395501942206 	 min so far 0.021906300589080198
40275 / 505163 rounded to 0.022569484977126665 	 min so far 0.021906300589080198
40276 / 505163 rounded to 0.022010324170004616 	 min so far 0.021906300589080198
40277 / 505163 rounded to 0.02592856378841185 	 min so far 0.021906300589080198
40278 / 505163 rounded to 0.027986545192875165 	 min so far 0.021906300589080198
40279 / 505163 rounded to 0.030825704256538643 	 min so far 0.021906300589080198
40280 / 505163 rounded to 0.022775217751157952 	 min so far 0.021906300589080198
40281 / 505163 rounded to 0.025816881701237207 	 min so far 0.021906300589080198
40282 / 505163 rounded to 0.02345531939179194 	 min so far 0.021906300589080198
40283 / 505163 rounded to 0.026096469996427264 	 min so far 0.021906300589080198
40284 / 505163 rounded to 0.02517281236204951 	 min so far 0.021906300589080198
40285 / 505163 rounded to 0.02971362575769395 	 min so far 0.021906300589080198
40286 / 505163 rounded to 0.024468318808825232 	 min so far 0.021906300589080198
40287 / 505163 rounded to 0.024509170981990906 	 min so far 0.021906300589080198
40288 / 505163 rounded to 0.027103613640943935 	 min so far 0.021906300589080198
40289 / 505163 rounded to 0.02413998512893798 	 min so far 0.021906300589080198
40290 / 505163 rounded to 0.022521353711700085 	 min so far 0.021906300589080198
40291 / 505163 rounded to 0.021928197711162743 	 min so far 0.021906300589080198
40292 / 505163 rounded to 0.0234154255710068 	 min so far 0.021906300589080198
40293 / 505163 rounded to 0.022280085951802246 	 min so far 0.021906300589080198
40294 / 505163 rounded to 0.027217689818522725 	 min so far 0.021906300589080198
40295 / 505163 rounded to 0.026231403226408524 	 min so far 0.021906300589080198
40296 / 505163 rounded to 0.023692515015071042 	 min so far 0.021906300589080198
40297 / 505163 rounded to 0.022083683065889908 	 min so far 0.021906300589080198
40298 / 505163 rounded to 0.024770799673771538 	 min so far 0.021906300589080198
40299 / 505163 rounded to 0.024742646841171452 	 min so far 0.021906300589080198
40300 / 505163 rounded to 0.02388411474808907 	 min so far 0.021906300589080198
40301 / 505163 rounded to 0.027207062430982185 	 min so far 0.021906300589080198
40302 / 505163 rounded to 0.025062553763307953 	 min so far 0.021906300589080198
40303 / 505163 rounded to 0.022859902635228937 	 min so far 0.021906300589080198
40304 / 505163 rounded to 0.026252141183386996 	 min so far 0.021906300589080198
40305 / 505163 rounded to 0.022360039681743455 	 min so far 0.021906300589080198
40306 / 505163 rounded to 0.02441189946238957 	 min so far 0.021906300589080198
40307 / 505163 rounded to 0.022675973384571613 	 min so far 0.021906300589080198
40308 / 505163 rounded to 0.023153259694788965 	 min so far 0.021906300589080198
40309 / 505163 rounded to 0.026369467669026345 	 min so far 0.021906300589080198
40310 / 505163 rounded to 0.026058723676813007 	 min so far 0.021906300589080198
40311 / 505163 rounded to 0.023293099497922635 	 min so far 0.021906300589080198
40312 / 505163 rounded to 0.025689867260240293 	 min so far 0.021906300589080198
40313 / 505163 rounded to 0.02520439722571226 	 min so far 0.021906300589080198
40314 / 505163 rounded to 0.023752889818076103 	 min so far 0.021906300589080198
40315 / 505163 rounded to 0.022885456230173296 	 min so far 0.021906300589080198
40316 / 505163 rounded to 0.02226106615247406 	 min so far 0.021906300589080198
40317 / 505163 rounded to 0.02601027142328741 	 min so far 0.021906300589080198
40318 / 505163 rounded to 0.025217213514867793 	 min so far 0.021906300589080198
40319 / 505163 rounded to 0.02243813383747119 	 min so far 0.021906300589080198
40320 / 505163 rounded to 0.022653411745871745 	 min so far 0.021906300589080198
40321 / 505163 rounded to 0.022124939195662243 	 min so far 0.021906300589080198
40322 / 505163 rounded to 0.024417232953778036 	 min so far 0.021906300589080198
40323 / 505163 rounded to 0.023274938944600098 	 min so far 0.021906300589080198
40324 / 505163 rounded to 0.021986702979205665 	 min so far 0.021906300589080198
40325 / 505163 rounded to 0.024168444223716532 	 min so far 0.021906300589080198
40326 / 505163 rounded to 0.02526153035078147 	 min so far 0.021906300589080198
40327 / 505163 rounded to 0.022947155098814842 	 min so far 0.021906300589080198
40328 / 505163 rounded to 0.030091046361200448 	 min so far 0.021906300589080198
40329 / 505163 rounded to 0.02401710470839563 	 min so far 0.021906300589080198
40330 / 505163 rounded to 0.02422910406651895 	 min so far 0.021906300589080198
40331 / 505163 rounded to 0.028729211562484463 	 min so far 0.021906300589080198
40332 / 505163 rounded to 0.0278623808440755 	 min so far 0.021906300589080198
40333 / 505163 rounded to 0.022765622052902258 	 min so far 0.021906300589080198
40334 / 505163 rounded to 0.022417327846825784 	 min so far 0.021906300589080198
40335 / 505163 rounded to 0.02561290069931669 	 min so far 0.021906300589080198
40336 / 505163 rounded to 0.023337949903425716 	 min so far 0.021906300589080198
40337 / 505163 rounded to 0.023382040590715535 	 min so far 0.021906300589080198
40338 / 505163 rounded to 0.022360256084266287 	 min so far 0.021906300589080198
40339 / 505163 rounded to 0.02213272338348745 	 min so far 0.021906300589080198
